Epoch : 130, Mean Accuracy(U) = 0.2186991512099632, Mean Accuracy(V) = 0.1855804235756802, Loss : 7.7180682500203455
Epoch : 131, Mean Accuracy(U) = 0.21746300245358569, Mean Accuracy(V) = 0.18389806769061798, Loss : 7.713405831654867
Epoch : 132, Mean Accuracy(U) = 0.21701942495748305, Mean Accuracy(V) = 0.18565308447597792, Loss : 7.718213854895698
Epoch : 133, Mean Accuracy(U) = 0.21936370088399945, Mean Accuracy(V) = 0.18699106921414396, Loss : 7.704914400312636
Epoch : 134, Mean Accuracy(U) = 0.21591943580817757, Mean Accuracy(V) = 0.18312365473533157, Loss : 7.706576368543836
Epoch : 135, Mean Accuracy(U) = 0.21829933633609688, Mean Accuracy(V) = 0.1852870673008787, Loss : 7.7207837687598335
Epoch : 136, Mean Accuracy(U) = 0.21914333767361116, Mean Accuracy(V) = 0.18455597408234137, Loss : 7.718236456976997
Epoch : 137, Mean Accuracy(U) = 0.2189783628295068, Mean Accuracy(V) = 0.18556968360260764, Loss : 7.7090561442905
Epoch : 138, Mean Accuracy(U) = 0.21670541914682542, Mean Accuracy(V) = 0.1856154945702239, Loss : 7.728026676177978
Epoch : 139, Mean Accuracy(U) = 0.21632478675063777, Mean Accuracy(V) = 0.18473716960742625, Loss : 7.717382203208076
Epoch : 140, Mean Accuracy(U) = 0.21982410802862806, Mean Accuracy(V) = 0.1874002954046202, Loss : 7.716581752565172
Epoch : 141, Mean Accuracy(U) = 0.21724814763144834, Mean Accuracy(V) = 0.18381214790603745, Loss : 7.71630982293023
Epoch : 142, Mean Accuracy(U) = 0.2178351369844813, Mean Accuracy(V) = 0.18536828142715417, Loss : 7.722472238540649
Epoch : 143, Mean Accuracy(U) = 0.217907770204436, Mean Accuracy(V) = 0.1843846327593538, Loss : 7.72069419225057
Epoch : 144, Mean Accuracy(U) = 0.2202031626452665, Mean Accuracy(V) = 0.18583344959077383, Loss : 7.7075937694973415
Epoch : 145, Mean Accuracy(U) = 0.21767910289115655, Mean Accuracy(V) = 0.18374657317354018, Loss : 7.717631562550863
Epoch : 146, Mean Accuracy(U) = 0.21818413074865353, Mean Accuracy(V) = 0.18408684762967684, Loss : 7.716926754845513
Epoch : 147, Mean Accuracy(U) = 0.2180837064643566, Mean Accuracy(V) = 0.18425622364831346, Loss : 7.712040456136068
Epoch : 148, Mean Accuracy(U) = 0.21981234388286575, Mean Accuracy(V) = 0.18746409859516722, Loss : 7.719736692640517
Epoch : 149, Mean Accuracy(U) = 0.21658564630279192, Mean Accuracy(V) = 0.18258161825928296, Loss : 7.719421900643242
Epoch : 150, Mean Accuracy(U) = 0.21924550581951527, Mean Accuracy(V) = 0.18478375562464572, Loss : 7.725859498977661
Epoch : 151, Mean Accuracy(U) = 0.22020150182468828, Mean Accuracy(V) = 0.18618595875850336, Loss : 7.719952789942424
Epoch : 152, Mean Accuracy(U) = 0.21673985349348063, Mean Accuracy(V) = 0.18579624720982138, Loss : 7.710067224502564
Epoch : 153, Mean Accuracy(U) = 0.2174212051357002, Mean Accuracy(V) = 0.1841720200449972, Loss : 7.720200808842977
Epoch : 154, Mean Accuracy(U) = 0.22001504703443872, Mean Accuracy(V) = 0.1879813611642574, Loss : 7.721031210157606
Epoch : 155, Mean Accuracy(U) = 0.21940929040887192, Mean Accuracy(V) = 0.18432174302012466, Loss : 7.725829166836209
Epoch : 156, Mean Accuracy(U) = 0.21570300320649097, Mean Accuracy(V) = 0.18386241540887185, Loss : 7.719815715154012
Epoch : 157, Mean Accuracy(U) = 0.21813757241177728, Mean Accuracy(V) = 0.18549693966128114, Loss : 7.725977357228597
Epoch : 158, Mean Accuracy(U) = 0.21647545085742628, Mean Accuracy(V) = 0.18468208572491498, Loss : 7.7129937595791285
Epoch : 159, Mean Accuracy(U) = 0.21665487484056126, Mean Accuracy(V) = 0.1865721272232851, Loss : 7.7093075593312586
Epoch : 160, Mean Accuracy(U) = 0.21965282206632653, Mean Accuracy(V) = 0.18533210321889176, Loss : 7.715927007463243
